ms,phase,tempC,humPct,pressHpa,gasKOhms,deltaGasKOhms,gasDropPct,deltaHumPct
348631,ambient,25.76,26.88,1002.32,25.88,0.00,0.00,0.00
351000,ambient,25.76,26.88,1002.32,25.90,0.00,0.00,0.00
353369,ambient,25.76,26.88,1002.32,25.95,0.00,0.00,0.00
355738,ambient,25.75,26.89,1002.32,26.07,0.00,0.00,0.00
358107,ambient,25.75,26.88,1002.32,26.09,0.00,0.00,0.00
360476,ambient,25.75,26.89,1002.31,26.11,0.00,0.00,0.00
362845,ambient,25.75,26.89,1002.31,26.22,0.00,0.00,0.00
365214,ambient,25.75,26.90,1002.30,26.11,0.00,0.00,0.00
367583,ambient,25.75,26.91,1002.31,26.19,0.00,0.00,0.00
369952,ambient,25.75,26.90,1002.31,26.17,0.00,0.00,0.00
372321,ambient,25.75,26.90,1002.30,26.15,0.00,0.00,0.00
374690,ambient,25.75,26.90,1002.29,26.11,0.00,0.00,0.00
377059,ambient,25.75,26.91,1002.28,26.23,0.00,0.00,0.00
379428,ambient,25.75,26.89,1002.25,26.35,0.00,0.00,0.00
381797,ambient,25.75,26.95,1002.26,26.55,0.00,0.00,0.00
384166,ambient,25.76,26.98,1002.26,26.58,0.00,0.00,0.00
386535,ambient,25.76,27.03,1002.26,26.66,0.00,0.00,0.00
388904,ambient,25.76,27.04,1002.26,26.83,0.00,0.00,0.00
391273,ambient,25.76,27.03,1002.26,26.83,0.00,0.00,0.00
393642,ambient,25.77,27.03,1002.27,26.86,0.00,0.00,0.00
396011,ambient,25.77,27.03,1002.28,27.01,0.00,0.00,0.00
398380,ambient,25.78,27.07,1002.29,26.86,0.00,0.00,0.00
400749,ambient,25.78,27.08,1002.30,26.71,0.00,0.00,0.00
403118,ambient,25.78,27.08,1002.30,26.96,0.00,0.00,0.00
405487,ambient,25.79,27.05,1002.31,27.01,0.00,0.00,0.00
407856,ambient,25.79,27.01,1002.32,27.17,0.00,0.00,0.00
410225,ambient,25.79,26.98,1002.32,27.14,0.00,0.00,0.00
412594,ambient,25.80,26.96,1002.31,27.10,0.00,0.00,0.00
414963,ambient,25.80,26.95,1002.31,27.10,0.00,0.00,0.00
417332,ambient,25.80,26.95,1002.31,27.03,0.00,0.00,0.00
419701,ambient,25.80,26.92,1002.30,27.05,0.00,0.00,0.00
422070,ambient,25.80,26.92,1002.31,27.12,0.00,0.00,0.00
424439,ambient,25.80,26.91,1002.30,27.14,0.00,0.00,0.00
426808,ambient,25.80,26.90,1002.30,27.19,0.00,0.00,0.00
429177,ambient,25.80,26.88,1002.31,27.17,0.00,0.00,0.00
431546,ambient,25.80,26.88,1002.31,27.15,0.00,0.00,0.00
433915,ambient,25.80,26.86,1002.32,27.24,0.00,0.00,0.00
436284,ambient,25.80,26.87,1002.32,27.20,0.00,0.00,0.00
